City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,presque isle,46.6811,-68.0159,278.25,95,100,0.89,US,1702261455
66,qaqortoq,60.7167,-46.0333,262.67,74,10,1.68,GL,1702261455
67,saipan,15.1355,145.701,303.54,70,0,6.17,MP,1702261456
68,kodiak,57.79,-152.4072,278.88,87,100,3.09,US,1702261456
69,lorengau,-2.0226,147.2712,302.95,74,100,7.06,PG,1702261457
70,harper,4.375,-7.7169,299.5,83,13,2.18,LR,1702261362
71,invercargill,-46.4,168.35,289.71,45,47,7.1,NZ,1702261458
72,mandera,3.9366,41.867,300.14,53,9,2.93,KE,1702261458
73,la sarre,48.8002,-79.1996,266.51,89,99,3.76,CA,1702261375
74,egilsstadir,65.2653,-14.3948,267.1,93,75,1.03,IS,1702261459
75,ca mau,9.1769,105.15,301.38,71,9,4.18,VN,1702261460
76,port mathurin,-19.6833,63.4167,299.21,76,100,3.52,MU,1702261461
77,magadan,59.5667,150.8,269.56,88,100,8.4,RU,1702261461
78,anadyr,64.75,177.4833,246.48,82,20,6.0,RU,1702261462
79,shenjiamen,29.9576,122.298,288.88,87,23,6.87,CN,1702261462
80,wailua homesteads,22.0669,-159.378,299.59,80,20,4.63,US,1702261463
81,port alfred,-33.5906,26.891,289.92,94,36,0.45,ZA,1702261463
82,wang saphung,17.301,101.7685,299.16,83,4,1.03,TH,1702261464
83,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,95,75,6.71,RU,1702261464
84,nadym,65.5333,72.5167,241.83,93,89,4.18,RU,1702261465
85,port lincoln,-34.7333,135.8667,290.53,91,100,5.99,AU,1702261466
86,minas de marcona,-15.2119,-75.1103,289.09,78,86,4.13,PE,1702261466
87,constantia,44.1833,28.65,272.53,84,88,4.18,RO,1702261171
88,uturoa,-16.7333,-151.4333,300.16,80,23,10.18,PF,1702261467
89,badger,64.8,-147.5333,255.82,74,0,0.0,US,1702261468
90,thompson,55.7435,-97.8558,258.24,85,100,1.03,CA,1702261468
91,vadso,70.0744,29.7487,262.24,92,75,10.8,NO,1702261469
92,hrebinka,50.1171,32.4361,273.05,98,100,3.92,UA,1702261469
93,northam,51.0333,-4.2167,285.18,86,63,10.64,GB,1702261470
94,talnakh,69.4865,88.3972,246.04,98,100,4.52,RU,1702261470
95,malax,62.9423,21.5731,264.12,86,100,2.06,FI,1702261471
96,crane,31.3974,-102.3501,282.11,23,0,2.06,US,1702261471
97,sabha,27.0377,14.4283,284.57,72,0,3.56,LY,1702261472
98,togur,58.3631,82.8265,241.56,99,8,2.24,RU,1702261473
99,derazhnya,49.2692,27.4338,272.17,95,100,3.33,UA,1702261473
100,pacific grove,36.6177,-121.9166,287.98,61,0,2.57,US,1702261474
101,kapa'a,22.0752,-159.319,300.33,78,20,4.63,US,1702261474
102,ouarzazat,30.9189,-6.8934,283.31,34,0,1.54,MA,1702261475
103,shiqian,27.5225,108.2281,286.06,93,100,1.66,CN,1702261476
104,papatowai,-46.5619,169.4708,291.15,40,81,6.86,NZ,1702261476
105,burang,30.25,81.1667,260.23,42,1,1.45,CN,1702261477
106,isafjordur,66.0755,-23.124,270.49,93,89,3.19,IS,1702261477
107,grytviken,-54.2811,-36.5092,278.45,95,100,6.26,GS,1702261478
108,kapuskasing,49.4169,-82.4331,266.2,93,100,3.09,CA,1702261478
109,fedorovka,53.6314,62.7078,244.88,93,89,5.18,KZ,1702261479
110,kuta,-8.7233,115.1723,303.15,70,20,4.63,ID,1702261479
111,ondjiva,-17.0667,15.7333,295.17,56,0,1.54,AO,1702261480
112,olonkinbyen,70.9221,-8.7187,269.91,64,100,4.28,SJ,1702261480
113,stanley,54.868,-1.6985,278.86,92,100,5.37,GB,1702261385
114,zaragoza,41.6561,-0.8773,288.4,69,0,8.75,ES,1702261247
115,calenzano,43.8559,11.1627,284.45,95,40,1.03,IT,1702261482
116,penhalonga,-18.8911,32.6978,290.38,98,66,1.29,ZW,1702261482
